profile,h_km,sigma_iono,n,f_hz,Q,Re_Zg,Re_Zi
optimistic_cold,150.0,3e-07,2,67.26925881914649,0.36293903213602247,79.82083556783198,29.936602587892647
apollo_classic,200.0,3e-07,2,67.26925881914649,0.6662810989702543,49.78001839091829,29.936602587892647
apollo_classic,120.0,3e-07,1,38.83792468742084,0.3450554242487848,30.63401703249489,22.688192744138682
nominal,200.0,1e-07,1,38.83792468742084,0.49272455226006334,22.663074572615553,39.57290707935288
nominal,80.0,0.001,2,67.26925881914649,0.5828967678430043,35.932751085788176,0.5153342439715299
nominal,40.0,1e-05,1,38.83792468742084,0.230745959376619,22.663074572615553,3.9161091121401452
optimistic_cold,150.0,3e-07,3,95.13309815282291,0.33729057777210086,131.33369607958164,35.690129564212654
apollo_classic,200.0,3e-07,1,38.83792468742084,0.5750923737479747,30.63401703249489,22.688192744138682
apollo_classic,120.0,1e-07,3,95.13309815282291,0.343447237214986,68.38534900905897,62.83844678543254
nominal,150.0,0.001,3,95.13309815282291,1.1550107615885044,48.16208484078906,0.6128396245231282
nominal,40.0,1e-05,2,67.26925881914649,0.25854219544218837,35.932751085788176,5.154296806813111
optimistic_cold,150.0,1e-06,1,38.83792468742084,0.4374583270379871,40.178073292182056,12.395842264925669
apollo_classic,200.0,1e-07,3,95.13309815282291,0.5724120620249766,68.38534900905897,62.83844678543254
apollo_classic,120.0,1e-07,2,67.26925881914649,0.31167027638749006,49.78001839091829,52.469727938929566
nominal,150.0,0.001,2,67.26925881914649,1.0929314397056331,35.932751085788176,0.5153342439715299
nominal,80.0,1e-06,3,95.13309815282291,0.44450935764592886,48.16208484078906,19.43071809615248
nominal,50.0,0.001,1,38.83792468742084,0.33252732844856137,22.663074572615553,0.391569038935955
nominal,40.0,1e-05,3,95.13309815282291,0.27670361979985925,48.16208484078906,6.130001104309631
apollo_classic,200.0,1e-07,2,67.26925881914649,0.5194504606458168,49.78001839091829,52.469727938929566
apollo_classic,120.0,1e-07,1,38.83792468742084,0.26206984494929686,30.63401703249489,39.57290707935288
nominal,150.0,0.001,1,38.83792468742084,0.9975819853456841,22.663074572615553,0.391569038935955
nominal,80.0,3e-06,1,38.83792468742084,0.41141070731952023,22.663074572615553,7.151605160661953
nominal,40.0,3e-05,1,38.83792468742084,0.246070821374679,22.663074572615553,2.26080386418569
pessimistic_warm,80.0,1e-07,3,95.13309815282291,0.4374337161701937,5.847693089752086,62.83844678543254
apollo_classic,200.0,1e-07,1,38.83792468742084,0.43678307491549484,30.63401703249489,39.57290707935288
apollo_classic,100.0,0.001,3,95.13309815282291,0.5443192424685666,68.38534900905897,0.6128396245231282
nominal,150.0,0.0003,3,95.13309815282291,1.143150240403873,48.16208484078906,1.1188938634613523
nominal,80.0,3e-06,2,67.26925881914649,0.46850607342595463,35.932751085788176,9.414518326164727
apollo_classic,150.0,0.001,3,95.13309815282291,0.8164788637028499,68.38534900905897,0.6128396245231282
apollo_classic,100.0,0.001,2,67.26925881914649,0.5280177496470368,49.78001839091829,0.5153342439715299
nominal,150.0,0.0003,2,67.26925881914649,1.0803185496776835,35.932751085788176,0.9408714081077424
nominal,80.0,3e-06,3,95.13309815282291,0.5061529315841146,48.16208484078906,11.198696338435685
apollo_classic,150.0,0.001,2,67.26925881914649,0.7920266244705554,49.78001839091829,0.5153342439715299
apollo_classic,100.0,0.001,1,38.83792468742084,0.49419205367032476,30.63401703249489,0.391569038935955
nominal,150.0,0.0003,1,38.83792468742084,0.983784603791993,22.663074572615553,0.7149057869058422
nominal,80.0,0.001,3,95.13309815282291,0.616005739513869,48.16208484078906,0.6128396245231282
nominal,40.0,3e-05,2,67.26925881914649,0.2730203799462986,35.932751085788176,2.9754636360611677
pessimistic_warm,80.0,1e-07,2,67.26925881914649,0.37024091498056344,4.913101114143291,52.469727938929566
apollo_classic,150.0,0.001,1,38.83792468742084,0.7412880805054871,30.63401703249489,0.391569038935955
apollo_classic,100.0,0.0003,3,95.13309815282291,0.5403561022543486,68.38534900905897,1.1188938634613523
nominal,150.0,0.0001,3,95.13309815282291,1.124460082904774,48.16208484078906,1.9380152068467316
nominal,40.0,3e-05,3,95.13309815282291,0.2905732478297099,48.16208484078906,3.538533917817282
optimistic_cold,150.0,1e-06,2,67.26925881914649,0.4143139795715566,79.82083556783198,16.326676556093474
pessimistic_warm,80.0,1e-07,1,38.83792468742084,0.28340792055150155,3.707741018637186,39.57290707935288
apollo_classic,150.0,0.0003,3,95.13309815282291,0.8105341533815229,68.38534900905897,1.1188938634613523
apollo_classic,100.0,0.0003,2,67.26925881914649,0.5235877962947063,49.78001839091829,0.9408714081077424
nominal,150.0,0.0001,2,67.26925881914649,1.0605086300077422,35.932751085788176,1.6296574102909376
nominal,100.0,0.0003,2,67.26925881914649,0.7202123664517889,35.932751085788176,0.9408714081077424
nominal,80.0,1e-05,1,38.83792468742084,0.461491918753238,22.663074572615553,3.9161091121401452
optimistic_cold,150.0,1e-06,3,95.13309815282291,0.3736661795232137,131.33369607958164,19.43071809615248
pessimistic_warm,70.0,0.001,3,95.13309815282291,4.069312919045198,5.847693089752086,0.6128396245231282
apollo_classic,150.0,0.0003,2,67.26925881914649,0.7853816944420595,49.78001839091829,0.9408714081077424
apollo_classic,100.0,0.0003,1,38.83792468742084,0.4890948944337262,30.63401703249489,0.7149057869058422
nominal,150.0,0.0001,1,38.83792468742084,0.9622431370956717,22.663074572615553,1.2382620634305879
nominal,100.0,0.0003,1,38.83792468742084,0.6558564025279953,22.663074572615553,0.7149057869058422
nominal,80.0,1e-05,2,67.26925881914649,0.5170843908843767,35.932751085788176,5.154296806813111
nominal,50.0,0.001,2,67.26925881914649,0.36431047990187765,35.932751085788176,0.5153342439715299
optimistic_cold,120.0,3e-07,2,67.26925881914649,0.29035122570881794,79.82083556783198,29.936602587892647
pessimistic_warm,70.0,0.001,2,67.26925881914649,3.424520329489732,4.913101114143291,0.5153342439715299
apollo_classic,150.0,0.0003,1,38.83792468742084,0.7336423416505894,30.63401703249489,0.7149057869058422
